  ... #10510 @ 30519.079 ms: miss_ratio = 0.17869, load_admit = 0.790, cache_tp = 24937.800, core_tp = 1199.702
  ... #21020 @ 31019.129 ms: miss_ratio = 0.17930, load_admit = 0.750, cache_tp = 4703.527, core_tp = 783.921
  ... #31080 @ 31519.471 ms: miss_ratio = 0.17941, load_admit = 0.800, cache_tp = 9449.535, core_tp = 1047.283
  ... #40890 @ 32019.709 ms: miss_ratio = 0.18013, load_admit = 0.800, cache_tp = 4749.743, core_tp = 791.624
  ... #50710 @ 32520.170 ms: miss_ratio = 0.18096, load_admit = 0.800, cache_tp = 1662.467, core_tp = 583.462
  ... #60540 @ 33020.518 ms: miss_ratio = 0.18159, load_admit = 0.830, cache_tp = 5012.516, core_tp = 895.378
  ... #70360 @ 33520.593 ms: miss_ratio = 0.18193, load_admit = 0.800, cache_tp = 6431.023, core_tp = 927.859
  ... #80180 @ 34020.597 ms: miss_ratio = 0.18132, load_admit = 0.770, cache_tp = 10703.915, core_tp = 975.992
  ... #89960 @ 34520.937 ms: miss_ratio = 0.18234, load_admit = 0.770, cache_tp = 2430.351, core_tp = 703.523
  ... #99800 @ 35021.373 ms: miss_ratio = 0.18292, load_admit = 0.840, cache_tp = 4867.747, core_tp = 815.288
  ... #109630 @ 35521.468 ms: miss_ratio = 0.18382, load_admit = 0.830, cache_tp = 2375.549, core_tp = 695.868
  ... #119450 @ 36021.486 ms: miss_ratio = 0.18361, load_admit = 0.830, cache_tp = 7607.734, core_tp = 903.968
  ... #128990 @ 36521.723 ms: miss_ratio = 0.18208, load_admit = 0.860, cache_tp = 11314.634, core_tp = 823.609
  ... #138730 @ 37021.725 ms: miss_ratio = 0.18252, load_admit = 0.860, cache_tp = 5111.982, core_tp = 823.997
  ... #148470 @ 37521.727 ms: miss_ratio = 0.18262, load_admit = 0.940, cache_tp = 8823.956, core_tp = 1055.995
  ... #158260 @ 38021.804 ms: miss_ratio = 0.17957, load_admit = 0.950, cache_tp = 21092.774, core_tp = 1023.843
  ... #167940 @ 38521.918 ms: miss_ratio = 0.17717, load_admit = 0.950, cache_tp = 18811.685, core_tp = 1143.738
  ... #177510 @ 39022.079 ms: miss_ratio = 0.17797, load_admit = 0.970, cache_tp = 3982.720, core_tp = 903.710
  ... #187000 @ 39522.548 ms: miss_ratio = 0.17792, load_admit = 0.960, cache_tp = 10334.313, core_tp = 1182.891
  ... #196620 @ 40022.582 ms: miss_ratio = 0.17833, load_admit = 0.940, cache_tp = 7807.464, core_tp = 1039.929
  ... #206200 @ 40522.825 ms: miss_ratio = 0.18017, load_admit = 0.970, cache_tp = 1175.430, core_tp = 1031.500
  ... #215860 @ 41022.887 ms: miss_ratio = 0.18096, load_admit = 0.970, cache_tp = 4231.469, core_tp = 871.891
  ... #225540 @ 41523.348 ms: miss_ratio = 0.18128, load_admit = 0.910, cache_tp = 7760.854, core_tp = 1031.051
  ... #235220 @ 42023.350 ms: miss_ratio = 0.18106, load_admit = 0.900, cache_tp = 8735.960, core_tp = 1063.995
  ... #244940 @ 42523.801 ms: miss_ratio = 0.18255, load_admit = 0.890, cache_tp = 1870.314, core_tp = 999.100
  ... #254690 @ 43023.948 ms: miss_ratio = 0.18293, load_admit = 0.860, cache_tp = 7397.823, core_tp = 223.934
  ... #264400 @ 43524.116 ms: miss_ratio = 0.18434, load_admit = 0.910, cache_tp = 3198.926, core_tp = 1895.364
  ... #274060 @ 44024.573 ms: miss_ratio = 0.18462, load_admit = 0.880, cache_tp = 6242.285, core_tp = 959.122
