
Main setup parameters:

  Using cache mode: mfwa
  Cache 1/8 capacity: 33554432 bytes
  Core 1/8 capacity: 33554432 bytes
  FlashSim page size: 4096 bytes
  FlashSim enable data: false

Experiment parameters:

  Intensity: 20000 4KiB-Reqs/s
  Reads percentage: 100%
  Approx hit ratio: 99%

Begin stabilizing stage... (0 - 15 secs)

  *** #0 @ 500.210 ms: miss_ratio = 0.16476, load_admit = 1.000, cache_tp = 207.912, core_tp = 6549.244
  *** #0 @ 1000.431 ms: miss_ratio = 0.05722, load_admit = 1.000, cache_tp = 25132.924, core_tp = 0.000
  *** #0 @ 1500.869 ms: miss_ratio = 0.03816, load_admit = 1.000, cache_tp = 41099.962, core_tp = 0.000
  *** #0 @ 2001.377 ms: miss_ratio = 0.02863, load_admit = 1.000, cache_tp = 43212.083, core_tp = 0.000
  *** #0 @ 2501.428 ms: miss_ratio = 0.02289, load_admit = 0.920, cache_tp = 44035.535, core_tp = 2503.746
  *** #0 @ 3002.036 ms: miss_ratio = 0.01902, load_admit = 0.880, cache_tp = 44250.201, core_tp = 6296.345
  *** #0 @ 3502.645 ms: miss_ratio = 0.01624, load_admit = 0.830, cache_tp = 44298.083, core_tp = 9029.010
  *** #0 @ 4002.738 ms: miss_ratio = 0.01417, load_admit = 0.820, cache_tp = 44423.685, core_tp = 10302.072
  *** #0 @ 4502.749 ms: miss_ratio = 0.01255, load_admit = 0.770, cache_tp = 44423.037, core_tp = 12975.719
  *** #0 @ 5003.299 ms: miss_ratio = 0.01126, load_admit = 0.740, cache_tp = 44455.053, core_tp = 15726.684
  *** #0 @ 5503.954 ms: miss_ratio = 0.01020, load_admit = 0.670, cache_tp = 42544.311, core_tp = 18256.103
  *** #0 @ 6004.185 ms: miss_ratio = 0.00935, load_admit = 0.660, cache_tp = 39077.962, core_tp = 19910.810
  *** #0 @ 6504.618 ms: miss_ratio = 0.00862, load_admit = 0.670, cache_tp = 41252.217, core_tp = 19958.688
  *** #0 @ 7004.788 ms: miss_ratio = 0.00800, load_admit = 0.600, cache_tp = 41441.933, core_tp = 21704.632
  *** #0 @ 7505.273 ms: miss_ratio = 0.00745, load_admit = 0.570, cache_tp = 44037.256, core_tp = 25151.587
  *** #0 @ 8005.280 ms: miss_ratio = 0.00697, load_admit = 0.550, cache_tp = 44607.423, core_tp = 27431.645
  *** #0 @ 8505.904 ms: miss_ratio = 0.00655, load_admit = 0.510, cache_tp = 44608.289, core_tp = 27837.234
  *** #0 @ 9006.413 ms: miss_ratio = 0.00618, load_admit = 0.450, cache_tp = 43355.929, core_tp = 28594.934
  *** #0 @ 9506.660 ms: miss_ratio = 0.00586, load_admit = 0.500, cache_tp = 43842.302, core_tp = 29169.564
  *** #0 @ 10007.014 ms: miss_ratio = 0.00556, load_admit = 0.510, cache_tp = 44048.818, core_tp = 29035.446
  *** #0 @ 10507.243 ms: miss_ratio = 0.00530, load_admit = 0.490, cache_tp = 44091.796, core_tp = 29178.630
  *** #0 @ 11007.493 ms: miss_ratio = 0.00505, load_admit = 0.460, cache_tp = 43618.225, core_tp = 29169.438
  *** #0 @ 11507.770 ms: miss_ratio = 0.00483, load_admit = 0.450, cache_tp = 43399.931, core_tp = 29023.904
  *** #0 @ 12007.788 ms: miss_ratio = 0.00463, load_admit = 0.460, cache_tp = 39430.585, core_tp = 28870.964
  *** #0 @ 12507.895 ms: miss_ratio = 0.00443, load_admit = 0.520, cache_tp = 30193.567, core_tp = 28609.904
  *** #0 @ 13008.433 ms: miss_ratio = 0.00426, load_admit = 0.550, cache_tp = 31669.906, core_tp = 28976.805
  *** #0 @ 13508.642 ms: miss_ratio = 0.00409, load_admit = 0.560, cache_tp = 33250.086, core_tp = 29355.715
  *** #0 @ 14008.766 ms: miss_ratio = 0.00394, load_admit = 0.600, cache_tp = 34727.374, core_tp = 29152.758
  *** #0 @ 14509.058 ms: miss_ratio = 0.00380, load_admit = 0.650, cache_tp = 37969.850, core_tp = 29414.841

Measuring delta overhead... (15 - 30 secs)

  ??? #0 @ 15009.512 ms: miss_ratio = 0.00367, load_admit = 0.660, cache_tp = 40387.342, core_tp = 27662.891
  ??? #0 @ 15509.520 ms: miss_ratio = 0.00355, load_admit = 0.680, cache_tp = 39783.315, core_tp = 21871.623
  ??? #0 @ 16010.118 ms: miss_ratio = 0.00344, load_admit = 0.690, cache_tp = 41534.355, core_tp = 19736.410
  ??? #0 @ 16510.644 ms: miss_ratio = 0.00333, load_admit = 0.650, cache_tp = 40829.015, core_tp = 20706.201
  ??? #0 @ 17010.972 ms: miss_ratio = 0.00323, load_admit = 0.710, cache_tp = 41860.589, core_tp = 19515.221
  ??? #0 @ 17511.588 ms: miss_ratio = 0.00313, load_admit = 0.690, cache_tp = 42339.826, core_tp = 18513.187
  ??? #0 @ 18011.865 ms: miss_ratio = 0.00304, load_admit = 0.690, cache_tp = 42952.236, core_tp = 19861.011
  ??? #0 @ 18511.958 ms: miss_ratio = 0.00295, load_admit = 0.600, cache_tp = 43703.862, core_tp = 24187.496
  ??? #0 @ 19012.509 ms: miss_ratio = 0.00286, load_admit = 0.590, cache_tp = 42081.570, core_tp = 25204.192
  ??? #0 @ 19513.095 ms: miss_ratio = 0.00278, load_admit = 0.630, cache_tp = 42334.412, core_tp = 24595.191
  ??? #0 @ 20013.320 ms: miss_ratio = 0.00270, load_admit = 0.610, cache_tp = 42029.125, core_tp = 24900.817
  ??? #0 @ 20513.427 ms: miss_ratio = 0.00263, load_admit = 0.620, cache_tp = 41487.080, core_tp = 25370.545
  ??? #0 @ 21013.445 ms: miss_ratio = 0.00256, load_admit = 0.640, cache_tp = 42854.483, core_tp = 24175.144
  ??? #0 @ 21513.698 ms: miss_ratio = 0.00250, load_admit = 0.650, cache_tp = 42322.556, core_tp = 24587.542
  ??? #0 @ 22013.913 ms: miss_ratio = 0.00243, load_admit = 0.590, cache_tp = 42381.793, core_tp = 24509.471
  ??? #0 @ 22514.226 ms: miss_ratio = 0.00238, load_admit = 0.620, cache_tp = 39958.956, core_tp = 27454.793
  ??? #0 @ 23014.630 ms: miss_ratio = 0.00232, load_admit = 0.610, cache_tp = 41878.194, core_tp = 25947.054
  ??? #0 @ 23514.989 ms: miss_ratio = 0.00226, load_admit = 0.590, cache_tp = 41122.468, core_tp = 27140.509
  ??? #0 @ 24015.281 ms: miss_ratio = 0.00221, load_admit = 0.590, cache_tp = 41239.883, core_tp = 26848.299
  ??? #0 @ 24515.429 ms: miss_ratio = 0.00216, load_admit = 0.580, cache_tp = 40915.958, core_tp = 27591.879
  ??? #0 @ 25015.699 ms: miss_ratio = 0.00211, load_admit = 0.630, cache_tp = 41785.410, core_tp = 26457.696
  ??? #0 @ 25515.811 ms: miss_ratio = 0.00207, load_admit = 0.610, cache_tp = 41870.645, core_tp = 26282.128
  ??? #0 @ 26016.041 ms: miss_ratio = 0.00203, load_admit = 0.640, cache_tp = 41133.029, core_tp = 25444.265
  ??? #0 @ 26516.561 ms: miss_ratio = 0.00199, load_admit = 0.600, cache_tp = 40358.067, core_tp = 24286.766
  ??? #0 @ 27017.133 ms: miss_ratio = 0.00195, load_admit = 0.630, cache_tp = 40753.332, core_tp = 26881.217
  ??? #0 @ 27517.196 ms: miss_ratio = 0.00191, load_admit = 0.630, cache_tp = 43818.477, core_tp = 24132.958
  ??? #0 @ 28017.803 ms: miss_ratio = 0.00187, load_admit = 0.610, cache_tp = 42500.404, core_tp = 25473.075
  ??? #0 @ 28518.170 ms: miss_ratio = 0.00184, load_admit = 0.590, cache_tp = 41481.567, core_tp = 26332.681
  ??? #0 @ 29018.570 ms: miss_ratio = 0.00180, load_admit = 0.560, cache_tp = 39344.521, core_tp = 28185.449
  ??? #0 @ 29519.020 ms: miss_ratio = 0.00177, load_admit = 0.580, cache_tp = 39404.557, core_tp = 28222.615

Start the experiment... (30 - 60 secs)

  ... #340 @ 30019.357 ms: miss_ratio = 0.00174, load_admit = 0.570, cache_tp = 39565.329, core_tp = 27997.127
  ... #9470 @ 30519.446 ms: miss_ratio = 0.00170, load_admit = 0.620, cache_tp = 43144.324, core_tp = 29906.679
  ... #18650 @ 31019.688 ms: miss_ratio = 0.00167, load_admit = 0.620, cache_tp = 43626.835, core_tp = 28354.244
  ... #27820 @ 31520.168 ms: miss_ratio = 0.00164, load_admit = 0.630, cache_tp = 43941.839, core_tp = 27845.283
  ... #36990 @ 32020.603 ms: miss_ratio = 0.00161, load_admit = 0.630, cache_tp = 43969.794, core_tp = 28111.573
  ... #46180 @ 32521.132 ms: miss_ratio = 0.00158, load_admit = 0.600, cache_tp = 43993.409, core_tp = 28985.303
  ... #55380 @ 33021.567 ms: miss_ratio = 0.00155, load_admit = 0.550, cache_tp = 43985.720, core_tp = 29694.157
  ... #64570 @ 33521.701 ms: miss_ratio = 0.00153, load_admit = 0.530, cache_tp = 43884.281, core_tp = 29816.038
  ... #73690 @ 34021.962 ms: miss_ratio = 0.00150, load_admit = 0.580, cache_tp = 40738.745, core_tp = 29848.427
  ... #82860 @ 34522.319 ms: miss_ratio = 0.00148, load_admit = 0.610, cache_tp = 43153.185, core_tp = 29946.615
  ... #92060 @ 35022.543 ms: miss_ratio = 0.00145, load_admit = 0.610, cache_tp = 43836.335, core_tp = 30010.537
  ... #101250 @ 35522.595 ms: miss_ratio = 0.00143, load_admit = 0.590, cache_tp = 43811.408, core_tp = 29996.856
  ... #110430 @ 36022.705 ms: miss_ratio = 0.00141, load_admit = 0.620, cache_tp = 43790.411, core_tp = 30025.425
  ... #119610 @ 36523.025 ms: miss_ratio = 0.00139, load_admit = 0.660, cache_tp = 43779.999, core_tp = 29852.907
  ... #128780 @ 37023.569 ms: miss_ratio = 0.00136, load_admit = 0.630, cache_tp = 43592.537, core_tp = 26842.774
  ... #137970 @ 37523.979 ms: miss_ratio = 0.00134, load_admit = 0.600, cache_tp = 43884.000, core_tp = 29919.456
  ... #146700 @ 38024.179 ms: miss_ratio = 0.00133, load_admit = 0.580, cache_tp = 44046.422, core_tp = 29052.406
  ... #155230 @ 38524.275 ms: miss_ratio = 0.00131, load_admit = 0.530, cache_tp = 43791.559, core_tp = 28810.446
  ... #163780 @ 39024.750 ms: miss_ratio = 0.00129, load_admit = 0.590, cache_tp = 38763.195, core_tp = 29715.786
  ... #172340 @ 39524.948 ms: miss_ratio = 0.00127, load_admit = 0.640, cache_tp = 42719.075, core_tp = 26125.649
  ... #180910 @ 40025.471 ms: miss_ratio = 0.00126, load_admit = 0.610, cache_tp = 42683.368, core_tp = 25868.950
  ... #189480 @ 40525.632 ms: miss_ratio = 0.00124, load_admit = 0.620, cache_tp = 40914.817, core_tp = 27647.092
  ... #198040 @ 41025.694 ms: miss_ratio = 0.00122, load_admit = 0.630, cache_tp = 41906.771, core_tp = 26540.688
  ... #206600 @ 41525.994 ms: miss_ratio = 0.00121, load_admit = 0.640, cache_tp = 42518.502, core_tp = 25896.470
  ... #215160 @ 42026.528 ms: miss_ratio = 0.00119, load_admit = 0.620, cache_tp = 42362.738, core_tp = 26116.096
  ... #223710 @ 42526.786 ms: miss_ratio = 0.00118, load_admit = 0.640, cache_tp = 42138.337, core_tp = 26146.558
  ... #232260 @ 43027.253 ms: miss_ratio = 0.00116, load_admit = 0.610, cache_tp = 43207.622, core_tp = 24680.935
  ... #240810 @ 43527.367 ms: miss_ratio = 0.00115, load_admit = 0.620, cache_tp = 41670.493, core_tp = 27193.796
  ... #249370 @ 44027.376 ms: miss_ratio = 0.00114, load_admit = 0.590, cache_tp = 41647.277, core_tp = 26903.533
  ... #257900 @ 44527.716 ms: miss_ratio = 0.00112, load_admit = 0.620, cache_tp = 40316.573, core_tp = 27869.041
  ... #266450 @ 45027.872 ms: miss_ratio = 0.00111, load_admit = 0.590, cache_tp = 40731.295, core_tp = 27631.381
  ... #275010 @ 45528.325 ms: miss_ratio = 0.00110, load_admit = 0.560, cache_tp = 39556.161, core_tp = 28757.944
  ... #283560 @ 46028.350 ms: miss_ratio = 0.00108, load_admit = 0.610, cache_tp = 39501.975, core_tp = 28958.516
  ... #292110 @ 46528.844 ms: miss_ratio = 0.00107, load_admit = 0.590, cache_tp = 40815.678, core_tp = 27556.776
  ... #300660 @ 47029.008 ms: miss_ratio = 0.00106, load_admit = 0.580, cache_tp = 39091.222, core_tp = 29262.435
  ... #309210 @ 47529.237 ms: miss_ratio = 0.00105, load_admit = 0.610, cache_tp = 39022.134, core_tp = 29362.556
  ... #317760 @ 48029.555 ms: miss_ratio = 0.00104, load_admit = 0.620, cache_tp = 42165.115, core_tp = 26199.295
  ... #326310 @ 48530.043 ms: miss_ratio = 0.00103, load_admit = 0.640, cache_tp = 43237.796, core_tp = 25103.497
  ... #334860 @ 49030.438 ms: miss_ratio = 0.00102, load_admit = 0.640, cache_tp = 42958.078, core_tp = 25395.946
  ... #343390 @ 49530.732 ms: miss_ratio = 0.00101, load_admit = 0.660, cache_tp = 44821.675, core_tp = 22714.659
  ... #351910 @ 50030.805 ms: miss_ratio = 0.00099, load_admit = 0.620, cache_tp = 44113.561, core_tp = 24708.394
  ... #360450 @ 50530.859 ms: miss_ratio = 0.00098, load_admit = 0.600, cache_tp = 42619.418, core_tp = 25669.240
