  ... #5660 @ 30529.430 ms: miss_ratio = 0.39708, load_admit = 0.660, cache_tp = 10161.771, core_tp = 2998.162
  ... #11030 @ 31029.525 ms: miss_ratio = 0.39307, load_admit = 0.650, cache_tp = 17308.701, core_tp = 28018.660
  ... #16400 @ 31529.993 ms: miss_ratio = 0.38970, load_admit = 0.630, cache_tp = 14082.820, core_tp = 16152.882
  ... #21780 @ 32030.114 ms: miss_ratio = 0.38674, load_admit = 0.580, cache_tp = 12828.887, core_tp = 7126.271
  ... #27150 @ 32530.167 ms: miss_ratio = 0.38287, load_admit = 0.570, cache_tp = 15606.374, core_tp = 15750.359
  ... #32520 @ 33030.366 ms: miss_ratio = 0.37999, load_admit = 0.540, cache_tp = 10851.673, core_tp = 7692.933
  ... #38060 @ 33531.252 ms: miss_ratio = 0.37546, load_admit = 0.510, cache_tp = 19285.810, core_tp = 27974.407
  ... #43620 @ 34031.959 ms: miss_ratio = 0.37173, load_admit = 0.500, cache_tp = 13924.315, core_tp = 18142.352
  ... #49160 @ 34532.202 ms: miss_ratio = 0.36897, load_admit = 0.500, cache_tp = 7164.517, core_tp = 6316.929
  ... #54670 @ 35033.061 ms: miss_ratio = 0.36529, load_admit = 0.510, cache_tp = 17497.936, core_tp = 23248.057
  ... #60000 @ 35533.824 ms: miss_ratio = 0.36297, load_admit = 0.490, cache_tp = 6853.550, core_tp = 1278.051
  ... #65520 @ 36034.266 ms: miss_ratio = 0.35883, load_admit = 0.520, cache_tp = 18016.071, core_tp = 27935.301
  ... #71000 @ 36534.289 ms: miss_ratio = 0.35572, load_admit = 0.500, cache_tp = 12503.430, core_tp = 11911.457
  ... #76430 @ 37035.034 ms: miss_ratio = 0.35233, load_admit = 0.510, cache_tp = 13547.791, core_tp = 11351.068
  ... #81970 @ 37535.630 ms: miss_ratio = 0.34818, load_admit = 0.510, cache_tp = 14223.069, core_tp = 23044.568
  ... #87370 @ 38036.039 ms: miss_ratio = 0.34593, load_admit = 0.500, cache_tp = 12597.676, core_tp = 495.594
  ... #92750 @ 38536.932 ms: miss_ratio = 0.34305, load_admit = 0.530, cache_tp = 12306.033, core_tp = 6851.769
  ... #98060 @ 39037.672 ms: miss_ratio = 0.34120, load_admit = 0.580, cache_tp = 6374.561, core_tp = 0.000
  ... #103540 @ 39538.256 ms: miss_ratio = 0.33926, load_admit = 0.590, cache_tp = 7862.818, core_tp = 727.151
  ... #109020 @ 40038.371 ms: miss_ratio = 0.33643, load_admit = 0.530, cache_tp = 13324.934, core_tp = 19475.519
  ... #114480 @ 40539.088 ms: miss_ratio = 0.33385, load_admit = 0.530, cache_tp = 9833.906, core_tp = 9921.781
  ... #119880 @ 41039.370 ms: miss_ratio = 0.32964, load_admit = 0.490, cache_tp = 17997.823, core_tp = 18613.475
  ... #125380 @ 41539.660 ms: miss_ratio = 0.32766, load_admit = 0.490, cache_tp = 9930.254, core_tp = 0.000
  ... #130870 @ 42040.367 ms: miss_ratio = 0.32405, load_admit = 0.430, cache_tp = 21162.052, core_tp = 26690.229
  ... #136360 @ 42541.090 ms: miss_ratio = 0.32051, load_admit = 0.420, cache_tp = 20394.530, core_tp = 27264.603
  ... #141860 @ 43041.368 ms: miss_ratio = 0.31685, load_admit = 0.450, cache_tp = 16454.856, core_tp = 21588.004
  ... #147390 @ 43541.930 ms: miss_ratio = 0.31477, load_admit = 0.420, cache_tp = 9013.863, core_tp = 974.904
  ... #152900 @ 44041.937 ms: miss_ratio = 0.31135, load_admit = 0.420, cache_tp = 10599.842, core_tp = 27647.589
  ... #158370 @ 44541.950 ms: miss_ratio = 0.30929, load_admit = 0.380, cache_tp = 12151.704, core_tp = 1711.958
  ... #163690 @ 45042.303 ms: miss_ratio = 0.30711, load_admit = 0.390, cache_tp = 5899.834, core_tp = 1718.786
  ... #169030 @ 45542.392 ms: miss_ratio = 0.30498, load_admit = 0.380, cache_tp = 7918.588, core_tp = 4783.147
  ... #174390 @ 46043.264 ms: miss_ratio = 0.30277, load_admit = 0.430, cache_tp = 8225.646, core_tp = 7722.524
  ... #179760 @ 46543.752 ms: miss_ratio = 0.30009, load_admit = 0.460, cache_tp = 10949.314, core_tp = 25175.429
  ... #185120 @ 47044.513 ms: miss_ratio = 0.29839, load_admit = 0.480, cache_tp = 7979.865, core_tp = 0.000
  ... #190480 @ 47545.117 ms: miss_ratio = 0.29533, load_admit = 0.460, cache_tp = 20471.267, core_tp = 25577.098
  ... #195820 @ 48045.909 ms: miss_ratio = 0.29319, load_admit = 0.440, cache_tp = 10918.707, core_tp = 26278.382
  ... #201160 @ 48546.561 ms: miss_ratio = 0.29165, load_admit = 0.440, cache_tp = 4665.908, core_tp = 0.000
  ... #206500 @ 49046.706 ms: miss_ratio = 0.28947, load_admit = 0.410, cache_tp = 10572.935, core_tp = 8501.535
  ... #211830 @ 49547.229 ms: miss_ratio = 0.28728, load_admit = 0.340, cache_tp = 8463.148, core_tp = 6880.803
  ... #217130 @ 50047.615 ms: miss_ratio = 0.28553, load_admit = 0.370, cache_tp = 4244.727, core_tp = 2677.935
  ... #222490 @ 50547.961 ms: miss_ratio = 0.28298, load_admit = 0.350, cache_tp = 14334.068, core_tp = 28196.463
  ... #227790 @ 51048.810 ms: miss_ratio = 0.28013, load_admit = 0.330, cache_tp = 7850.680, core_tp = 26626.823
  ... #233240 @ 51549.646 ms: miss_ratio = 0.27717, load_admit = 0.320, cache_tp = 23233.158, core_tp = 27018.828
  ... #238780 @ 52050.425 ms: miss_ratio = 0.27504, load_admit = 0.300, cache_tp = 8834.220, core_tp = 7524.264
  ... #244290 @ 52550.671 ms: miss_ratio = 0.27330, load_admit = 0.310, cache_tp = 6676.715, core_tp = 367.819
  ... #249770 @ 53051.294 ms: miss_ratio = 0.27089, load_admit = 0.320, cache_tp = 11801.313, core_tp = 24058.060
  ... #255270 @ 53551.957 ms: miss_ratio = 0.26860, load_admit = 0.290, cache_tp = 9179.821, core_tp = 19597.999
  ... #260750 @ 54052.707 ms: miss_ratio = 0.26675, load_admit = 0.260, cache_tp = 3762.354, core_tp = 5623.562
  ... #266110 @ 54553.347 ms: miss_ratio = 0.26460, load_admit = 0.240, cache_tp = 7997.772, core_tp = 29785.910
  ... #271520 @ 55053.370 ms: miss_ratio = 0.26257, load_admit = 0.260, cache_tp = 6335.706, core_tp = 7767.640
  ... #276830 @ 55554.114 ms: miss_ratio = 0.26061, load_admit = 0.220, cache_tp = 6374.511, core_tp = 6007.058
  ... #282160 @ 56054.417 ms: miss_ratio = 0.25885, load_admit = 0.210, cache_tp = 3925.623, core_tp = 2750.335
  ... #287390 @ 56554.743 ms: miss_ratio = 0.25701, load_admit = 0.180, cache_tp = 7539.084, core_tp = 8810.255
  ... #292670 @ 57055.511 ms: miss_ratio = 0.25525, load_admit = 0.190, cache_tp = 3882.040, core_tp = 7867.920
  ... #297930 @ 57555.652 ms: miss_ratio = 0.25345, load_admit = 0.170, cache_tp = 3990.874, core_tp = 2303.350
  ... #303180 @ 58055.652 ms: miss_ratio = 0.25148, load_admit = 0.190, cache_tp = 7159.999, core_tp = 8231.999
  ... #308490 @ 58555.889 ms: miss_ratio = 0.24941, load_admit = 0.200, cache_tp = 10019.257, core_tp = 15176.815
  ... #313760 @ 59055.929 ms: miss_ratio = 0.24774, load_admit = 0.160, cache_tp = 3039.754, core_tp = 7943.358
  ... #319140 @ 59556.318 ms: miss_ratio = 0.24521, load_admit = 0.200, cache_tp = 17194.634, core_tp = 24820.706

Wait for extra secs... (60 - 75 secs)

  ~~~ #323850 @ 60057.038 ms: miss_ratio = 0.24365, load_admit = 0.250, cache_tp = 5583.952, core_tp = 3554.876
  ~~~ #323850 @ 60557.154 ms: miss_ratio = 0.24347, load_admit = 0.230, cache_tp = 2911.324, core_tp = 4071.055
