
Main setup parameters:

  Using cache mode: mfwt
  Cache 1/8 capacity: 33554432 bytes
  Core 1/8 capacity: 33554432 bytes
  FlashSim page size: 4096 bytes
  FlashSim enable data: false

Experiment parameters:

  Intensity: 21000 4KiB-Reqs/s
  Reads percentage: 100%
  Approx hit ratio: 99%

Begin stabilizing stage... (0 - 15 secs)

  *** #0 @ 500.197 ms: miss_ratio = 0.16694, load_admit = 1.000, cache_tp = 1823.283, core_tp = 6549.423
  *** #0 @ 1000.361 ms: miss_ratio = 0.06574, load_admit = 1.000, cache_tp = 863.717, core_tp = 0.000
  *** #0 @ 1500.608 ms: miss_ratio = 0.03723, load_admit = 1.000, cache_tp = 15448.348, core_tp = 0.000
  *** #0 @ 2001.156 ms: miss_ratio = 0.02691, load_admit = 1.000, cache_tp = 42057.960, core_tp = 0.000
  *** #0 @ 2501.438 ms: miss_ratio = 0.02104, load_admit = 0.950, cache_tp = 42839.803, core_tp = 1439.187
  *** #0 @ 3001.724 ms: miss_ratio = 0.01725, load_admit = 0.920, cache_tp = 41608.159, core_tp = 4325.521
  *** #0 @ 3502.174 ms: miss_ratio = 0.01459, load_admit = 0.820, cache_tp = 43688.727, core_tp = 8848.046
  *** #0 @ 4002.751 ms: miss_ratio = 0.01263, load_admit = 0.790, cache_tp = 43725.524, core_tp = 13879.977
  *** #0 @ 4502.919 ms: miss_ratio = 0.01115, load_admit = 0.740, cache_tp = 43761.337, core_tp = 15506.804
  *** #0 @ 5003.473 ms: miss_ratio = 0.01001, load_admit = 0.730, cache_tp = 44310.874, core_tp = 17420.686
  *** #0 @ 5503.928 ms: miss_ratio = 0.00909, load_admit = 0.680, cache_tp = 44415.620, core_tp = 19494.277
  *** #0 @ 6004.141 ms: miss_ratio = 0.00831, load_admit = 0.650, cache_tp = 44469.018, core_tp = 22102.565
  *** #0 @ 6504.379 ms: miss_ratio = 0.00766, load_admit = 0.660, cache_tp = 43707.209, core_tp = 21957.555
  *** #0 @ 7004.505 ms: miss_ratio = 0.00710, load_admit = 0.630, cache_tp = 43325.075, core_tp = 24001.947
  *** #0 @ 7505.072 ms: miss_ratio = 0.00661, load_admit = 0.600, cache_tp = 43822.269, core_tp = 26066.419
  *** #0 @ 8005.193 ms: miss_ratio = 0.00618, load_admit = 0.590, cache_tp = 44005.414, core_tp = 27753.324
  *** #0 @ 8505.272 ms: miss_ratio = 0.00581, load_admit = 0.610, cache_tp = 44240.992, core_tp = 28795.439
  *** #0 @ 9005.619 ms: miss_ratio = 0.00547, load_admit = 0.580, cache_tp = 44113.327, core_tp = 26661.461
  *** #0 @ 9505.889 ms: miss_ratio = 0.00517, load_admit = 0.580, cache_tp = 43752.443, core_tp = 28880.450
  *** #0 @ 10006.355 ms: miss_ratio = 0.00492, load_admit = 0.560, cache_tp = 43871.046, core_tp = 28533.364
  *** #0 @ 10506.819 ms: miss_ratio = 0.00469, load_admit = 0.580, cache_tp = 43807.426, core_tp = 27830.224
  *** #0 @ 11007.365 ms: miss_ratio = 0.00448, load_admit = 0.560, cache_tp = 43224.779, core_tp = 27929.488
  *** #0 @ 11507.763 ms: miss_ratio = 0.00429, load_admit = 0.590, cache_tp = 42725.991, core_tp = 26578.844
  *** #0 @ 12007.969 ms: miss_ratio = 0.00412, load_admit = 0.530, cache_tp = 43046.220, core_tp = 28076.403
  *** #0 @ 12508.220 ms: miss_ratio = 0.00396, load_admit = 0.540, cache_tp = 43090.358, core_tp = 28249.811
  *** #0 @ 13008.545 ms: miss_ratio = 0.00381, load_admit = 0.520, cache_tp = 43267.899, core_tp = 28229.666
  *** #0 @ 13508.594 ms: miss_ratio = 0.00367, load_admit = 0.510, cache_tp = 44131.664, core_tp = 27997.249
  *** #0 @ 14009.047 ms: miss_ratio = 0.00355, load_admit = 0.470, cache_tp = 45183.042, core_tp = 27926.685
  *** #0 @ 14509.460 ms: miss_ratio = 0.00343, load_admit = 0.460, cache_tp = 45226.718, core_tp = 27801.083

Measuring delta overhead... (15 - 30 secs)

  ??? #0 @ 15009.606 ms: miss_ratio = 0.00332, load_admit = 0.430, cache_tp = 45266.728, core_tp = 27647.894
  ??? #0 @ 15509.819 ms: miss_ratio = 0.00321, load_admit = 0.450, cache_tp = 45156.753, core_tp = 27532.265
  ??? #0 @ 16010.427 ms: miss_ratio = 0.00312, load_admit = 0.460, cache_tp = 45280.951, core_tp = 27654.380
  ??? #0 @ 16510.739 ms: miss_ratio = 0.00303, load_admit = 0.450, cache_tp = 45299.715, core_tp = 27686.712
  ??? #0 @ 17010.793 ms: miss_ratio = 0.00294, load_admit = 0.460, cache_tp = 45299.115, core_tp = 27805.002
  ??? #0 @ 17510.842 ms: miss_ratio = 0.00286, load_admit = 0.460, cache_tp = 45107.609, core_tp = 28237.251
  ??? #0 @ 18011.206 ms: miss_ratio = 0.00279, load_admit = 0.440, cache_tp = 45111.201, core_tp = 28451.314
  ??? #0 @ 18511.473 ms: miss_ratio = 0.00272, load_admit = 0.450, cache_tp = 45127.870, core_tp = 28536.741
  ??? #0 @ 19011.523 ms: miss_ratio = 0.00265, load_admit = 0.460, cache_tp = 45307.472, core_tp = 28573.145
  ??? #0 @ 19511.841 ms: miss_ratio = 0.00258, load_admit = 0.530, cache_tp = 44979.342, core_tp = 28877.601
  ??? #0 @ 20012.022 ms: miss_ratio = 0.00252, load_admit = 0.600, cache_tp = 37994.308, core_tp = 29165.489
  ??? #0 @ 20512.229 ms: miss_ratio = 0.00246, load_admit = 0.630, cache_tp = 38991.837, core_tp = 29083.944
  ??? #0 @ 21012.698 ms: miss_ratio = 0.00240, load_admit = 0.660, cache_tp = 40577.912, core_tp = 29348.453
  ??? #0 @ 21513.222 ms: miss_ratio = 0.00235, load_admit = 0.670, cache_tp = 41516.473, core_tp = 29776.781
  ??? #0 @ 22013.810 ms: miss_ratio = 0.00229, load_admit = 0.710, cache_tp = 42446.118, core_tp = 30204.504
  ??? #0 @ 22514.180 ms: miss_ratio = 0.00224, load_admit = 0.690, cache_tp = 43112.066, core_tp = 29809.919
  ??? #0 @ 23014.583 ms: miss_ratio = 0.00220, load_admit = 0.700, cache_tp = 43620.834, core_tp = 30159.686
  ??? #0 @ 23514.683 ms: miss_ratio = 0.00215, load_admit = 0.690, cache_tp = 43463.349, core_tp = 30537.922
  ??? #0 @ 24015.121 ms: miss_ratio = 0.00211, load_admit = 0.710, cache_tp = 43394.006, core_tp = 30213.546
  ??? #0 @ 24515.176 ms: miss_ratio = 0.00206, load_admit = 0.670, cache_tp = 43707.209, core_tp = 25957.155
  ??? #0 @ 25015.199 ms: miss_ratio = 0.00202, load_admit = 0.660, cache_tp = 43701.990, core_tp = 22166.981
  ??? #0 @ 25515.201 ms: miss_ratio = 0.00198, load_admit = 0.660, cache_tp = 43655.781, core_tp = 24071.879
  ??? #0 @ 26015.572 ms: miss_ratio = 0.00194, load_admit = 0.640, cache_tp = 43703.581, core_tp = 24669.700
  ??? #0 @ 26515.749 ms: miss_ratio = 0.00190, load_admit = 0.620, cache_tp = 43656.528, core_tp = 25790.859
  ??? #0 @ 27015.793 ms: miss_ratio = 0.00186, load_admit = 0.570, cache_tp = 43932.176, core_tp = 28573.513
  ??? #0 @ 27516.018 ms: miss_ratio = 0.00182, load_admit = 0.620, cache_tp = 44172.088, core_tp = 28986.933
  ??? #0 @ 28016.195 ms: miss_ratio = 0.00179, load_admit = 0.590, cache_tp = 43960.446, core_tp = 28621.873
  ??? #0 @ 28516.649 ms: miss_ratio = 0.00175, load_admit = 0.550, cache_tp = 43056.902, core_tp = 28933.727
  ??? #0 @ 29017.174 ms: miss_ratio = 0.00172, load_admit = 0.620, cache_tp = 41348.616, core_tp = 28977.596
  ??? #0 @ 29517.496 ms: miss_ratio = 0.00169, load_admit = 0.610, cache_tp = 41445.289, core_tp = 27989.961

Start the experiment... (30 - 60 secs)

  ... #310 @ 30017.680 ms: miss_ratio = 0.00166, load_admit = 0.610, cache_tp = 39809.333, core_tp = 26198.348
  ... #9620 @ 30517.852 ms: miss_ratio = 0.00163, load_admit = 0.580, cache_tp = 43401.048, core_tp = 29221.933
  ... #18930 @ 31018.158 ms: miss_ratio = 0.00160, load_admit = 0.590, cache_tp = 44117.021, core_tp = 29374.037
