
Main setup parameters:

  Using cache mode: wt
  Cache 1/8 capacity: 33554432 bytes
  Core 1/8 capacity: 33554432 bytes
  FlashSim page size: 4096 bytes
  FlashSim enable data: false

Experiment parameters:

  Intensity: 21000 4KiB-Reqs/s
  Reads percentage: 95%
  Approx hit ratio: 99%

Begin stabilizing stage... (0 - 15 secs)

  *** #0 @ 500.686 ms: miss_ratio = 0.19525, load_admit = 1.000, cache_tp = 375.485, core_tp = 6622.913
  *** #0 @ 1000.799 ms: miss_ratio = 0.09381, load_admit = 1.000, cache_tp = 159.964, core_tp = 103.977
  *** #0 @ 1501.303 ms: miss_ratio = 0.06024, load_admit = 1.000, cache_tp = 33709.984, core_tp = 1574.411
  *** #0 @ 2001.436 ms: miss_ratio = 0.05267, load_admit = 1.000, cache_tp = 41117.092, core_tp = 0.000
  *** #0 @ 2501.896 ms: miss_ratio = 0.03892, load_admit = 1.000, cache_tp = 22810.999, core_tp = 543.500
  *** #0 @ 3001.937 ms: miss_ratio = 0.03200, load_admit = 1.000, cache_tp = 39636.764, core_tp = 383.969
  *** #0 @ 3502.128 ms: miss_ratio = 0.02685, load_admit = 1.000, cache_tp = 38433.343, core_tp = 3014.850
  *** #0 @ 4002.534 ms: miss_ratio = 0.02229, load_admit = 1.000, cache_tp = 21446.572, core_tp = 511.584
  *** #0 @ 4502.718 ms: miss_ratio = 0.02124, load_admit = 1.000, cache_tp = 23207.458, core_tp = 719.735
  *** #0 @ 5003.366 ms: miss_ratio = 0.01941, load_admit = 1.000, cache_tp = 37607.232, core_tp = 950.767
  *** #0 @ 5503.891 ms: miss_ratio = 0.01774, load_admit = 1.000, cache_tp = 37592.557, core_tp = 4067.732
  *** #0 @ 6004.487 ms: miss_ratio = 0.01652, load_admit = 1.000, cache_tp = 17738.861, core_tp = 767.086
  *** #0 @ 6504.572 ms: miss_ratio = 0.01562, load_admit = 1.000, cache_tp = 16205.226, core_tp = 0.000
  *** #0 @ 7004.781 ms: miss_ratio = 0.01471, load_admit = 1.000, cache_tp = 16033.296, core_tp = 1839.231
  *** #0 @ 7505.160 ms: miss_ratio = 0.01417, load_admit = 1.000, cache_tp = 23014.554, core_tp = 1942.527
  *** #0 @ 8005.648 ms: miss_ratio = 0.01358, load_admit = 1.000, cache_tp = 21882.647, core_tp = 1142.885
  *** #0 @ 8506.249 ms: miss_ratio = 0.01299, load_admit = 1.000, cache_tp = 20966.829, core_tp = 846.983
  *** #0 @ 9006.789 ms: miss_ratio = 0.01203, load_admit = 1.000, cache_tp = 23206.927, core_tp = 751.188
  *** #0 @ 9507.107 ms: miss_ratio = 0.01145, load_admit = 1.000, cache_tp = 32603.257, core_tp = 1910.784
  *** #0 @ 10007.339 ms: miss_ratio = 0.01090, load_admit = 1.000, cache_tp = 36119.227, core_tp = 623.710
  *** #0 @ 10508.012 ms: miss_ratio = 0.01024, load_admit = 1.000, cache_tp = 35671.996, core_tp = 3267.603
  *** #0 @ 11008.721 ms: miss_ratio = 0.00981, load_admit = 1.000, cache_tp = 20866.403, core_tp = 0.000
  *** #0 @ 11508.961 ms: miss_ratio = 0.00958, load_admit = 1.000, cache_tp = 6692.785, core_tp = 751.639
  *** #0 @ 12009.332 ms: miss_ratio = 0.00935, load_admit = 1.000, cache_tp = 26020.726, core_tp = 1934.567
  *** #0 @ 12509.864 ms: miss_ratio = 0.00894, load_admit = 1.000, cache_tp = 30967.060, core_tp = 167.821
  *** #0 @ 13010.514 ms: miss_ratio = 0.00860, load_admit = 1.000, cache_tp = 26725.252, core_tp = 2956.156
  *** #0 @ 13510.519 ms: miss_ratio = 0.00836, load_admit = 1.000, cache_tp = 29015.695, core_tp = 751.992
  *** #0 @ 14010.820 ms: miss_ratio = 0.00800, load_admit = 1.000, cache_tp = 18988.548, core_tp = 759.542
  *** #0 @ 14511.399 ms: miss_ratio = 0.00786, load_admit = 1.000, cache_tp = 21327.321, core_tp = 1781.938

Measuring delta overhead... (15 - 30 secs)

  ??? #0 @ 15012.118 ms: miss_ratio = 0.00753, load_admit = 1.000, cache_tp = 35021.631, core_tp = 95.862
  ??? #0 @ 15512.581 ms: miss_ratio = 0.00735, load_admit = 1.000, cache_tp = 21500.084, core_tp = 3452.802
  ??? #0 @ 16013.119 ms: miss_ratio = 0.00719, load_admit = 1.000, cache_tp = 21624.740, core_tp = 343.630
  ??? #0 @ 16513.791 ms: miss_ratio = 0.00694, load_admit = 1.000, cache_tp = 20532.404, core_tp = 846.862
  ??? #0 @ 17014.267 ms: miss_ratio = 0.00663, load_admit = 1.000, cache_tp = 34870.846, core_tp = 1934.161
  ??? #0 @ 17514.922 ms: miss_ratio = 0.00652, load_admit = 1.000, cache_tp = 21619.647, core_tp = 2157.171
  ??? #0 @ 18015.590 ms: miss_ratio = 0.00643, load_admit = 1.000, cache_tp = 21714.997, core_tp = 998.666
  ??? #0 @ 18516.174 ms: miss_ratio = 0.00624, load_admit = 1.000, cache_tp = 34120.181, core_tp = 599.301
  ??? #0 @ 19016.670 ms: miss_ratio = 0.00604, load_admit = 1.000, cache_tp = 19588.561, core_tp = 815.191
  ??? #0 @ 19516.947 ms: miss_ratio = 0.00582, load_admit = 1.000, cache_tp = 34029.139, core_tp = 1886.954
  ??? #0 @ 20017.329 ms: miss_ratio = 0.00574, load_admit = 1.000, cache_tp = 21455.589, core_tp = 2518.074
  ??? #0 @ 20517.692 ms: miss_ratio = 0.00565, load_admit = 1.000, cache_tp = 21112.701, core_tp = 1095.206
  ??? #0 @ 21017.842 ms: miss_ratio = 0.00551, load_admit = 1.000, cache_tp = 33230.028, core_tp = 111.966
  ??? #0 @ 21518.056 ms: miss_ratio = 0.00541, load_admit = 1.000, cache_tp = 15769.256, core_tp = 1079.538
  ??? #0 @ 22018.642 ms: miss_ratio = 0.00526, load_admit = 1.000, cache_tp = 26528.903, core_tp = 1686.024
  ??? #0 @ 22519.229 ms: miss_ratio = 0.00512, load_admit = 1.000, cache_tp = 34431.539, core_tp = 3020.451
  ??? #0 @ 23019.524 ms: miss_ratio = 0.00504, load_admit = 1.000, cache_tp = 20707.781, core_tp = 775.542
  ??? #0 @ 23520.138 ms: miss_ratio = 0.00492, load_admit = 1.000, cache_tp = 34549.586, core_tp = 1110.637
  ??? #0 @ 24020.642 ms: miss_ratio = 0.00482, load_admit = 1.000, cache_tp = 14721.160, core_tp = 1598.389
  ??? #0 @ 24520.774 ms: miss_ratio = 0.00474, load_admit = 1.000, cache_tp = 26057.104, core_tp = 31.992
  ??? #0 @ 25021.167 ms: miss_ratio = 0.00463, load_admit = 1.000, cache_tp = 29097.169, core_tp = 767.398
  ??? #0 @ 25521.581 ms: miss_ratio = 0.00455, load_admit = 1.000, cache_tp = 25770.657, core_tp = 3077.451
  ??? #0 @ 26021.672 ms: miss_ratio = 0.00446, load_admit = 1.000, cache_tp = 34105.784, core_tp = 1039.810
  ??? #0 @ 26521.766 ms: miss_ratio = 0.00438, load_admit = 1.000, cache_tp = 19940.251, core_tp = 0.000
  ??? #0 @ 27022.312 ms: miss_ratio = 0.00427, load_admit = 1.000, cache_tp = 33954.903, core_tp = 1734.105
  ??? #0 @ 27522.758 ms: miss_ratio = 0.00419, load_admit = 1.000, cache_tp = 33010.539, core_tp = 3772.633
  ??? #0 @ 28022.917 ms: miss_ratio = 0.00410, load_admit = 1.000, cache_tp = 32045.865, core_tp = 223.929
  ??? #0 @ 28523.048 ms: miss_ratio = 0.00406, load_admit = 1.000, cache_tp = 12548.690, core_tp = 823.783
  ??? #0 @ 29023.600 ms: miss_ratio = 0.00397, load_admit = 1.000, cache_tp = 28392.666, core_tp = 1678.148
  ??? #0 @ 29524.143 ms: miss_ratio = 0.00388, load_admit = 1.000, cache_tp = 34450.595, core_tp = 3188.538

Start the experiment... (30 - 60 secs)

  ... #410 @ 30024.154 ms: miss_ratio = 0.00385, load_admit = 1.000, cache_tp = 17903.620, core_tp = 639.986
  ... #9710 @ 30524.193 ms: miss_ratio = 0.00380, load_admit = 1.000, cache_tp = 21294.341, core_tp = 975.924
  ... #18940 @ 31024.263 ms: miss_ratio = 0.00375, load_admit = 1.000, cache_tp = 18989.342, core_tp = 0.000
