  ... #9030 @ 30522.053 ms: miss_ratio = 0.89647, load_admit = 0.500, cache_tp = 175.889, core_tp = 2470.439
  ... #17720 @ 31022.232 ms: miss_ratio = 0.89565, load_admit = 0.480, cache_tp = 351.874, core_tp = 2998.930
  ... #26900 @ 31522.324 ms: miss_ratio = 0.89408, load_admit = 0.500, cache_tp = 1215.775, core_tp = 2039.622
  ... #35730 @ 32022.629 ms: miss_ratio = 0.89274, load_admit = 0.480, cache_tp = 2118.709, core_tp = 1974.797
  ... #44560 @ 32522.719 ms: miss_ratio = 0.89199, load_admit = 0.470, cache_tp = 279.950, core_tp = 431.922
  ... #53450 @ 33023.101 ms: miss_ratio = 0.89065, load_admit = 0.460, cache_tp = 1039.205, core_tp = 7522.244
  ... #62580 @ 33523.522 ms: miss_ratio = 0.88947, load_admit = 0.440, cache_tp = 2254.103, core_tp = 5059.741
  ... #71720 @ 34024.067 ms: miss_ratio = 0.88837, load_admit = 0.450, cache_tp = 783.147, core_tp = 17309.140
  ... #80860 @ 34524.251 ms: miss_ratio = 0.88773, load_admit = 0.420, cache_tp = 143.947, core_tp = 9140.637
  ... #89880 @ 35024.621 ms: miss_ratio = 0.88685, load_admit = 0.410, cache_tp = 103.923, core_tp = 7858.186
  ... #98550 @ 35524.799 ms: miss_ratio = 0.88578, load_admit = 0.420, cache_tp = 0.000, core_tp = 175.937
  ... #107350 @ 36024.962 ms: miss_ratio = 0.88530, load_admit = 0.420, cache_tp = 0.000, core_tp = 0.000
  ... #116120 @ 36524.995 ms: miss_ratio = 0.88416, load_admit = 0.400, cache_tp = 751.951, core_tp = 8175.470
  ... #124830 @ 37025.381 ms: miss_ratio = 0.88240, load_admit = 0.370, cache_tp = 2949.718, core_tp = 4164.778
  ... #133520 @ 37525.671 ms: miss_ratio = 0.88148, load_admit = 0.390, cache_tp = 31.981, core_tp = 1814.949
  ... #142130 @ 38025.702 ms: miss_ratio = 0.88067, load_admit = 0.380, cache_tp = 0.000, core_tp = 0.000
  ... #151290 @ 38526.028 ms: miss_ratio = 0.87944, load_admit = 0.330, cache_tp = 487.682, core_tp = 5820.205
  ... #160460 @ 39026.537 ms: miss_ratio = 0.87779, load_admit = 0.370, cache_tp = 2701.250, core_tp = 15831.882
  ... #169620 @ 39526.621 ms: miss_ratio = 0.87635, load_admit = 0.340, cache_tp = 2735.544, core_tp = 27851.360
  ... #178520 @ 40026.984 ms: miss_ratio = 0.87541, load_admit = 0.360, cache_tp = 63.954, core_tp = 14917.161
  ... #187290 @ 40527.134 ms: miss_ratio = 0.87403, load_admit = 0.310, cache_tp = 2223.334, core_tp = 8325.505
  ... #195910 @ 41027.570 ms: miss_ratio = 0.87318, load_admit = 0.330, cache_tp = 0.000, core_tp = 0.000
  ... #204690 @ 41527.831 ms: miss_ratio = 0.87236, load_admit = 0.350, cache_tp = 151.921, core_tp = 9363.102
  ... #213570 @ 42028.321 ms: miss_ratio = 0.87152, load_admit = 0.320, cache_tp = 239.765, core_tp = 13826.453
  ... #222750 @ 42528.523 ms: miss_ratio = 0.87081, load_admit = 0.310, cache_tp = 215.913, core_tp = 30571.656
  ... #231930 @ 43029.065 ms: miss_ratio = 0.86987, load_admit = 0.300, cache_tp = 71.922, core_tp = 21536.654
  ... #241100 @ 43529.265 ms: miss_ratio = 0.86896, load_admit = 0.280, cache_tp = 23.990, core_tp = 16665.326
  ... #250210 @ 44029.730 ms: miss_ratio = 0.86802, load_admit = 0.300, cache_tp = 391.636, core_tp = 30259.869
