
Main setup parameters:

  Using cache mode: mfwb
  Cache 1/8 capacity: 33554432 bytes
  Core 1/8 capacity: 33554432 bytes
  FlashSim page size: 4096 bytes
  FlashSim enable data: false

Experiment parameters:

  Intensity: 20000 4KiB-Reqs/s
  Reads percentage: 100%
  Approx hit ratio: 99%

Begin stabilizing stage... (0 - 15 secs)

  *** #0 @ 500.530 ms: miss_ratio = 0.13779, load_admit = 1.000, cache_tp = 2373.482, core_tp = 6545.056
  *** #0 @ 1000.865 ms: miss_ratio = 0.05735, load_admit = 1.000, cache_tp = 40197.081, core_tp = 0.000
  *** #0 @ 1501.362 ms: miss_ratio = 0.03827, load_admit = 1.000, cache_tp = 43101.171, core_tp = 0.000
  *** #0 @ 2001.963 ms: miss_ratio = 0.02872, load_admit = 1.000, cache_tp = 43795.355, core_tp = 0.000
  *** #0 @ 2502.332 ms: miss_ratio = 0.02297, load_admit = 0.910, cache_tp = 43439.930, core_tp = 1798.672
  *** #0 @ 3002.976 ms: miss_ratio = 0.01910, load_admit = 0.860, cache_tp = 43703.771, core_tp = 6615.489
  *** #0 @ 3503.518 ms: miss_ratio = 0.01633, load_admit = 0.830, cache_tp = 43792.516, core_tp = 9070.165
  *** #0 @ 4003.722 ms: miss_ratio = 0.01423, load_admit = 0.810, cache_tp = 44205.905, core_tp = 11747.192
  *** #0 @ 4504.052 ms: miss_ratio = 0.01262, load_admit = 0.780, cache_tp = 44186.851, core_tp = 12096.021
  *** #0 @ 5004.073 ms: miss_ratio = 0.01133, load_admit = 0.810, cache_tp = 44214.168, core_tp = 11927.506
  *** #0 @ 5504.653 ms: miss_ratio = 0.01031, load_admit = 0.770, cache_tp = 40201.380, core_tp = 13000.923
  *** #0 @ 6005.114 ms: miss_ratio = 0.00944, load_admit = 0.710, cache_tp = 40682.479, core_tp = 16113.139
  *** #0 @ 6505.676 ms: miss_ratio = 0.00871, load_admit = 0.720, cache_tp = 41161.697, core_tp = 17460.359
  *** #0 @ 7005.907 ms: miss_ratio = 0.00807, load_admit = 0.670, cache_tp = 43380.016, core_tp = 19175.167
  *** #0 @ 7506.086 ms: miss_ratio = 0.00752, load_admit = 0.610, cache_tp = 44248.109, core_tp = 21320.343
  *** #0 @ 8006.543 ms: miss_ratio = 0.00703, load_admit = 0.580, cache_tp = 44351.510, core_tp = 24337.781
  *** #0 @ 8506.819 ms: miss_ratio = 0.00661, load_admit = 0.530, cache_tp = 43607.914, core_tp = 26153.555
  *** #0 @ 9006.821 ms: miss_ratio = 0.00624, load_admit = 0.520, cache_tp = 43175.825, core_tp = 28751.883
  *** #0 @ 9507.198 ms: miss_ratio = 0.00591, load_admit = 0.450, cache_tp = 43543.188, core_tp = 28922.206
  *** #0 @ 10007.750 ms: miss_ratio = 0.00561, load_admit = 0.460, cache_tp = 44183.167, core_tp = 29311.604
  *** #0 @ 10507.923 ms: miss_ratio = 0.00534, load_admit = 0.460, cache_tp = 44184.707, core_tp = 28854.013
  *** #0 @ 11008.093 ms: miss_ratio = 0.00510, load_admit = 0.480, cache_tp = 44368.983, core_tp = 29094.153
  *** #0 @ 11508.173 ms: miss_ratio = 0.00487, load_admit = 0.480, cache_tp = 44280.893, core_tp = 28899.362
  *** #0 @ 12008.460 ms: miss_ratio = 0.00466, load_admit = 0.510, cache_tp = 36650.989, core_tp = 29175.274
  *** #0 @ 12508.985 ms: miss_ratio = 0.00447, load_admit = 0.550, cache_tp = 33021.267, core_tp = 29105.386
  *** #0 @ 13009.023 ms: miss_ratio = 0.00429, load_admit = 0.630, cache_tp = 36613.249, core_tp = 29365.794
  *** #0 @ 13509.325 ms: miss_ratio = 0.00413, load_admit = 0.650, cache_tp = 38472.800, core_tp = 29206.387
  *** #0 @ 14009.598 ms: miss_ratio = 0.00397, load_admit = 0.660, cache_tp = 39810.187, core_tp = 21172.399
  *** #0 @ 14509.855 ms: miss_ratio = 0.00383, load_admit = 0.660, cache_tp = 41050.960, core_tp = 21588.935

Measuring delta overhead... (15 - 30 secs)

  ??? #0 @ 15010.089 ms: miss_ratio = 0.00369, load_admit = 0.690, cache_tp = 42052.299, core_tp = 20542.376
  ??? #0 @ 15510.335 ms: miss_ratio = 0.00357, load_admit = 0.650, cache_tp = 42275.235, core_tp = 20102.126
  ??? #0 @ 16010.495 ms: miss_ratio = 0.00345, load_admit = 0.660, cache_tp = 40387.046, core_tp = 22008.940
  ??? #0 @ 16511.079 ms: miss_ratio = 0.00334, load_admit = 0.640, cache_tp = 39481.852, core_tp = 22965.157
  ??? #0 @ 17011.082 ms: miss_ratio = 0.00324, load_admit = 0.650, cache_tp = 40439.816, core_tp = 22071.900
  ??? #0 @ 17511.633 ms: miss_ratio = 0.00314, load_admit = 0.660, cache_tp = 40563.291, core_tp = 21919.840
  ??? #0 @ 18011.792 ms: miss_ratio = 0.00305, load_admit = 0.690, cache_tp = 41850.672, core_tp = 20753.391
  ??? #0 @ 18512.330 ms: miss_ratio = 0.00296, load_admit = 0.670, cache_tp = 42234.573, core_tp = 20354.108
  ??? #0 @ 19012.387 ms: miss_ratio = 0.00288, load_admit = 0.700, cache_tp = 42419.108, core_tp = 20165.674
  ??? #0 @ 19512.818 ms: miss_ratio = 0.00280, load_admit = 0.670, cache_tp = 43490.578, core_tp = 19079.583
  ??? #0 @ 20013.283 ms: miss_ratio = 0.00273, load_admit = 0.670, cache_tp = 42352.563, core_tp = 20301.096
  ??? #0 @ 20513.617 ms: miss_ratio = 0.00266, load_admit = 0.680, cache_tp = 42019.913, core_tp = 20482.309
  ??? #0 @ 21013.832 ms: miss_ratio = 0.00259, load_admit = 0.690, cache_tp = 43005.562, core_tp = 19599.597
  ??? #0 @ 21513.942 ms: miss_ratio = 0.00253, load_admit = 0.680, cache_tp = 42446.607, core_tp = 20131.545
  ??? #0 @ 22014.135 ms: miss_ratio = 0.00247, load_admit = 0.660, cache_tp = 42647.556, core_tp = 20048.270
  ??? #0 @ 22514.363 ms: miss_ratio = 0.00241, load_admit = 0.670, cache_tp = 43020.390, core_tp = 19671.033
  ??? #0 @ 23014.386 ms: miss_ratio = 0.00236, load_admit = 0.670, cache_tp = 42846.014, core_tp = 19775.083
  ??? #0 @ 23514.452 ms: miss_ratio = 0.00231, load_admit = 0.660, cache_tp = 42002.517, core_tp = 20549.317
  ??? #0 @ 24014.732 ms: miss_ratio = 0.00226, load_admit = 0.650, cache_tp = 40121.509, core_tp = 22427.428
  ??? #0 @ 24515.349 ms: miss_ratio = 0.00221, load_admit = 0.640, cache_tp = 40509.972, core_tp = 21693.210
  ??? #0 @ 25015.714 ms: miss_ratio = 0.00217, load_admit = 0.630, cache_tp = 39874.886, core_tp = 22583.511
  ??? #0 @ 25516.093 ms: miss_ratio = 0.00212, load_admit = 0.630, cache_tp = 39913.752, core_tp = 22590.880
  ??? #0 @ 26016.504 ms: miss_ratio = 0.00208, load_admit = 0.680, cache_tp = 40286.892, core_tp = 21894.007
  ??? #0 @ 26516.661 ms: miss_ratio = 0.00204, load_admit = 0.670, cache_tp = 42178.816, core_tp = 20457.605
  ??? #0 @ 27017.151 ms: miss_ratio = 0.00200, load_admit = 0.650, cache_tp = 41079.726, core_tp = 21506.915
  ??? #0 @ 27517.163 ms: miss_ratio = 0.00196, load_admit = 0.630, cache_tp = 39783.018, core_tp = 22543.443
  ??? #0 @ 28017.519 ms: miss_ratio = 0.00193, load_admit = 0.630, cache_tp = 39491.871, core_tp = 22927.669
  ??? #0 @ 28518.051 ms: miss_ratio = 0.00189, load_admit = 0.640, cache_tp = 40237.183, core_tp = 22264.308
  ??? #0 @ 29018.225 ms: miss_ratio = 0.00186, load_admit = 0.620, cache_tp = 40162.072, core_tp = 22288.270
  ??? #0 @ 29518.690 ms: miss_ratio = 0.00183, load_admit = 0.660, cache_tp = 40354.479, core_tp = 22059.489

Start the experiment... (30 - 60 secs)

  ... #320 @ 30019.121 ms: miss_ratio = 0.00179, load_admit = 0.670, cache_tp = 41428.248, core_tp = 21205.700
  ... #8980 @ 30519.257 ms: miss_ratio = 0.00176, load_admit = 0.640, cache_tp = 44092.010, core_tp = 25041.190
  ... #17640 @ 31019.588 ms: miss_ratio = 0.00173, load_admit = 0.620, cache_tp = 42883.655, core_tp = 26494.488
