
Progress:

  ... #103650 @ 25506.641 ms: miss_ratio = 0.00592, load_admit = 1.000, cache_tp = 1687.868, core_tp = 0.000
  ... #105730 @ 26006.785 ms: miss_ratio = 0.00581, load_admit = 1.000, cache_tp = 2079.401, core_tp = 0.000
  ... #107752 @ 26506.844 ms: miss_ratio = 0.00570, load_admit = 1.000, cache_tp = 1679.802, core_tp = 0.000
  ... #109787 @ 27006.951 ms: miss_ratio = 0.00559, load_admit = 1.000, cache_tp = 2135.543, core_tp = 0.000
  ... #111794 @ 27507.093 ms: miss_ratio = 0.00549, load_admit = 1.000, cache_tp = 1783.493, core_tp = 0.000
  ... #113830 @ 28007.264 ms: miss_ratio = 0.00539, load_admit = 1.000, cache_tp = 2159.262, core_tp = 0.000
  ... #115848 @ 28507.332 ms: miss_ratio = 0.00530, load_admit = 1.000, cache_tp = 2359.679, core_tp = 0.000
  ... #117864 @ 29007.334 ms: miss_ratio = 0.00521, load_admit = 1.000, cache_tp = 2439.990, core_tp = 0.000
  ... #119859 @ 29507.566 ms: miss_ratio = 0.00512, load_admit = 1.000, cache_tp = 1935.102, core_tp = 0.000
  ... #121857 @ 30007.776 ms: miss_ratio = 0.00504, load_admit = 1.000, cache_tp = 1903.201, core_tp = 0.000
  ... #123848 @ 30507.892 ms: miss_ratio = 0.00496, load_admit = 1.000, cache_tp = 1679.610, core_tp = 0.000
  ... #125825 @ 31007.902 ms: miss_ratio = 0.00488, load_admit = 1.000, cache_tp = 2055.959, core_tp = 0.000
  ... #127835 @ 31507.967 ms: miss_ratio = 0.00480, load_admit = 1.000, cache_tp = 2503.675, core_tp = 0.000
  ... #129846 @ 32008.158 ms: miss_ratio = 0.00473, load_admit = 1.000, cache_tp = 3222.769, core_tp = 0.000
  ... #131862 @ 32508.312 ms: miss_ratio = 0.00466, load_admit = 1.000, cache_tp = 2623.192, core_tp = 0.000
  ... #133881 @ 33008.500 ms: miss_ratio = 0.00459, load_admit = 1.000, cache_tp = 2990.875, core_tp = 0.000
  ... #135910 @ 33508.628 ms: miss_ratio = 0.00452, load_admit = 1.000, cache_tp = 3127.199, core_tp = 0.000
  ... #137922 @ 34008.892 ms: miss_ratio = 0.00445, load_admit = 1.000, cache_tp = 2726.560, core_tp = 0.000
  ... #139931 @ 34509.080 ms: miss_ratio = 0.00439, load_admit = 1.000, cache_tp = 3422.713, core_tp = 0.000
  ... #141951 @ 35009.169 ms: miss_ratio = 0.00433, load_admit = 1.000, cache_tp = 4095.271, core_tp = 0.000
  ... #144098 @ 35509.225 ms: miss_ratio = 0.00426, load_admit = 1.000, cache_tp = 4975.443, core_tp = 0.000
  ... #146136 @ 36009.282 ms: miss_ratio = 0.00420, load_admit = 1.000, cache_tp = 4903.441, core_tp = 0.000
  ... #148208 @ 36509.307 ms: miss_ratio = 0.00414, load_admit = 1.000, cache_tp = 8495.575, core_tp = 0.000
  ... #150289 @ 37009.401 ms: miss_ratio = 0.00409, load_admit = 1.000, cache_tp = 8566.390, core_tp = 0.000
  ... #152359 @ 37509.483 ms: miss_ratio = 0.00403, load_admit = 1.000, cache_tp = 8486.608, core_tp = 0.000
  ... #154430 @ 38009.524 ms: miss_ratio = 0.00398, load_admit = 1.000, cache_tp = 8519.301, core_tp = 0.000
  ... #156510 @ 38509.670 ms: miss_ratio = 0.00392, load_admit = 1.000, cache_tp = 8557.501, core_tp = 0.000
  ... #158580 @ 39009.703 ms: miss_ratio = 0.00387, load_admit = 1.000, cache_tp = 8535.437, core_tp = 0.000
  ... #160645 @ 39509.784 ms: miss_ratio = 0.00382, load_admit = 1.000, cache_tp = 8526.619, core_tp = 0.000
  ... #162719 @ 40009.799 ms: miss_ratio = 0.00377, load_admit = 1.000, cache_tp = 8495.745, core_tp = 0.000
  ... #164785 @ 40509.984 ms: miss_ratio = 0.00373, load_admit = 1.000, cache_tp = 8508.852, core_tp = 0.000
  ... #166848 @ 41010.023 ms: miss_ratio = 0.00368, load_admit = 1.000, cache_tp = 8495.337, core_tp = 0.000
  ... #168923 @ 41510.105 ms: miss_ratio = 0.00363, load_admit = 1.000, cache_tp = 8542.599, core_tp = 0.000
  ... #170984 @ 42010.336 ms: miss_ratio = 0.00359, load_admit = 1.000, cache_tp = 8476.084, core_tp = 0.000
  ... #173063 @ 42510.507 ms: miss_ratio = 0.00355, load_admit = 1.000, cache_tp = 8541.079, core_tp = 0.000
  ... #175156 @ 43010.720 ms: miss_ratio = 0.00351, load_admit = 1.000, cache_tp = 8644.318, core_tp = 0.000
  ... #177313 @ 43510.767 ms: miss_ratio = 0.00346, load_admit = 1.000, cache_tp = 9111.144, core_tp = 0.000
  ... #179386 @ 44011.033 ms: miss_ratio = 0.00342, load_admit = 1.000, cache_tp = 8531.461, core_tp = 0.000
  ... #181465 @ 44511.098 ms: miss_ratio = 0.00338, load_admit = 1.000, cache_tp = 8622.879, core_tp = 0.000
  ... #183514 @ 45011.101 ms: miss_ratio = 0.00335, load_admit = 1.000, cache_tp = 8471.949, core_tp = 0.000
  ... #185573 @ 45511.231 ms: miss_ratio = 0.00331, load_admit = 1.000, cache_tp = 8445.804, core_tp = 0.000
  ... #187645 @ 46011.261 ms: miss_ratio = 0.00327, load_admit = 1.000, cache_tp = 8511.489, core_tp = 0.000
  ... #189720 @ 46511.368 ms: miss_ratio = 0.00324, load_admit = 1.000, cache_tp = 8534.174, core_tp = 0.000
  ... #191780 @ 47011.592 ms: miss_ratio = 0.00320, load_admit = 1.000, cache_tp = 8484.199, core_tp = 0.000
  ... #193849 @ 47511.801 ms: miss_ratio = 0.00317, load_admit = 1.000, cache_tp = 8596.407, core_tp = 0.000
  ... #195913 @ 48011.838 ms: miss_ratio = 0.00313, load_admit = 1.000, cache_tp = 8479.373, core_tp = 0.000
  ... #197972 @ 48512.044 ms: miss_ratio = 0.00310, load_admit = 1.000, cache_tp = 8492.501, core_tp = 0.000
  ... #200041 @ 49012.224 ms: miss_ratio = 0.00307, load_admit = 1.000, cache_tp = 8532.928, core_tp = 0.000
  ... #202123 @ 49512.291 ms: miss_ratio = 0.00304, load_admit = 1.000, cache_tp = 8566.852, core_tp = 0.000
  ... #204201 @ 50012.305 ms: miss_ratio = 0.00301, load_admit = 1.000, cache_tp = 8583.760, core_tp = 0.000
  ... #206281 @ 50512.393 ms: miss_ratio = 0.00298, load_admit = 1.000, cache_tp = 8550.495, core_tp = 0.000
  ... #208357 @ 51012.535 ms: miss_ratio = 0.00295, load_admit = 1.000, cache_tp = 8493.588, core_tp = 0.000
  ... #210425 @ 51512.732 ms: miss_ratio = 0.00292, load_admit = 1.000, cache_tp = 8524.641, core_tp = 0.000
  ... #212591 @ 52012.844 ms: miss_ratio = 0.00289, load_admit = 1.000, cache_tp = 9165.947, core_tp = 0.000
  ... #214674 @ 52512.903 ms: miss_ratio = 0.00286, load_admit = 1.000, cache_tp = 8542.992, core_tp = 0.000
  ... #216740 @ 53013.043 ms: miss_ratio = 0.00283, load_admit = 1.000, cache_tp = 8517.615, core_tp = 0.000
  ... #218816 @ 53513.201 ms: miss_ratio = 0.00281, load_admit = 1.000, cache_tp = 8525.306, core_tp = 0.000
  ... #220896 @ 54013.371 ms: miss_ratio = 0.00278, load_admit = 1.000, cache_tp = 8565.088, core_tp = 0.000
  ... #222967 @ 54513.402 ms: miss_ratio = 0.00275, load_admit = 1.000, cache_tp = 8503.473, core_tp = 0.000
  ... #225026 @ 55013.414 ms: miss_ratio = 0.00273, load_admit = 1.000, cache_tp = 8479.796, core_tp = 0.000
  ... #227087 @ 55513.505 ms: miss_ratio = 0.00270, load_admit = 1.000, cache_tp = 8470.458, core_tp = 0.000
  ... #229149 @ 56013.681 ms: miss_ratio = 0.00268, load_admit = 1.000, cache_tp = 8445.027, core_tp = 0.000
