
Progress:

  ... #1014 @ 500.458 ms: miss_ratio = 0.59880, load_admit = 1.000, cache_tp = 511.531, core_tp = 3996.339
  ... #1958 @ 1000.682 ms: miss_ratio = 0.45581, load_admit = 1.000, cache_tp = 0.000, core_tp = 703.685
  ... #2886 @ 1501.200 ms: miss_ratio = 0.36239, load_admit = 1.000, cache_tp = 0.000, core_tp = 151.843
  ... #3817 @ 2001.430 ms: miss_ratio = 0.29815, load_admit = 1.000, cache_tp = 0.000, core_tp = 47.978
  ... #4744 @ 2501.505 ms: miss_ratio = 0.25216, load_admit = 1.000, cache_tp = 0.000, core_tp = 0.000
  ... #5669 @ 3001.945 ms: miss_ratio = 0.21885, load_admit = 1.000, cache_tp = 0.000, core_tp = 0.000
  ... #6652 @ 3502.059 ms: miss_ratio = 0.10736, load_admit = 1.000, cache_tp = 2127.515, core_tp = 7.998
  ... #7690 @ 4002.160 ms: miss_ratio = 0.08028, load_admit = 1.000, cache_tp = 6158.756, core_tp = 0.000
  ... #8738 @ 4502.380 ms: miss_ratio = 0.07033, load_admit = 1.000, cache_tp = 7700.612, core_tp = 0.000
  ... #9741 @ 5002.545 ms: miss_ratio = 0.06303, load_admit = 1.000, cache_tp = 5046.335, core_tp = 0.000
  ... #10770 @ 5502.987 ms: miss_ratio = 0.05701, load_admit = 1.000, cache_tp = 4220.269, core_tp = 0.000
  ... #11799 @ 6003.318 ms: miss_ratio = 0.05204, load_admit = 1.000, cache_tp = 4349.121, core_tp = 0.000
  ... #12833 @ 6503.510 ms: miss_ratio = 0.04785, load_admit = 1.000, cache_tp = 4398.311, core_tp = 0.000
  ... #13843 @ 7003.693 ms: miss_ratio = 0.04435, load_admit = 1.000, cache_tp = 4790.247, core_tp = 0.000
  ... #14859 @ 7503.782 ms: miss_ratio = 0.04132, load_admit = 1.000, cache_tp = 4359.224, core_tp = 0.000
  ... #15879 @ 8003.828 ms: miss_ratio = 0.03867, load_admit = 1.000, cache_tp = 4991.541, core_tp = 0.000
  ... #16919 @ 8503.899 ms: miss_ratio = 0.03629, load_admit = 1.000, cache_tp = 5631.200, core_tp = 0.000
  ... #17970 @ 9004.235 ms: miss_ratio = 0.03417, load_admit = 1.000, cache_tp = 7546.928, core_tp = 0.000
  ... #19025 @ 9504.540 ms: miss_ratio = 0.03227, load_admit = 1.000, cache_tp = 7843.216, core_tp = 0.000
  ... #20078 @ 10004.791 ms: miss_ratio = 0.03058, load_admit = 1.000, cache_tp = 7780.094, core_tp = 0.000
  ... #21144 @ 10504.988 ms: miss_ratio = 0.02904, load_admit = 1.000, cache_tp = 7916.881, core_tp = 0.000
  ... #22200 @ 11005.163 ms: miss_ratio = 0.02766, load_admit = 1.000, cache_tp = 7901.235, core_tp = 0.000
  ... #23252 @ 11505.236 ms: miss_ratio = 0.02641, load_admit = 1.000, cache_tp = 7878.850, core_tp = 0.000
  ... #24289 @ 12005.472 ms: miss_ratio = 0.02528, load_admit = 1.000, cache_tp = 7788.324, core_tp = 0.000
  ... #25333 @ 12505.512 ms: miss_ratio = 0.02424, load_admit = 1.000, cache_tp = 7831.373, core_tp = 0.000
  ... #26369 @ 13005.563 ms: miss_ratio = 0.02328, load_admit = 1.000, cache_tp = 7719.213, core_tp = 0.000
  ... #27419 @ 13505.688 ms: miss_ratio = 0.02239, load_admit = 1.000, cache_tp = 7790.052, core_tp = 0.000
  ... #28467 @ 14006.142 ms: miss_ratio = 0.02157, load_admit = 1.000, cache_tp = 7784.931, core_tp = 0.000
  ... #29501 @ 14506.169 ms: miss_ratio = 0.02081, load_admit = 1.000, cache_tp = 7807.578, core_tp = 0.000
  ... #30537 @ 15006.428 ms: miss_ratio = 0.02011, load_admit = 1.000, cache_tp = 7739.991, core_tp = 0.000
  ... #31575 @ 15506.770 ms: miss_ratio = 0.01945, load_admit = 1.000, cache_tp = 7770.685, core_tp = 0.000
  ... #32613 @ 16007.229 ms: miss_ratio = 0.01883, load_admit = 1.000, cache_tp = 7768.868, core_tp = 0.000
  ... #33658 @ 16507.489 ms: miss_ratio = 0.01824, load_admit = 1.000, cache_tp = 7755.967, core_tp = 0.000
  ... #34716 @ 17007.669 ms: miss_ratio = 0.01769, load_admit = 1.000, cache_tp = 7909.153, core_tp = 0.000
  ... #35752 @ 17507.736 ms: miss_ratio = 0.01717, load_admit = 1.000, cache_tp = 7758.960, core_tp = 0.000
  ... #36789 @ 18008.015 ms: miss_ratio = 0.01669, load_admit = 1.000, cache_tp = 7731.686, core_tp = 0.000
  ... #37829 @ 18508.336 ms: miss_ratio = 0.01623, load_admit = 1.000, cache_tp = 7818.980, core_tp = 0.000
  ... #38879 @ 19008.668 ms: miss_ratio = 0.01579, load_admit = 1.000, cache_tp = 7826.803, core_tp = 0.000
  ... #39948 @ 19508.747 ms: miss_ratio = 0.01537, load_admit = 1.000, cache_tp = 8038.730, core_tp = 0.000
  ... #40997 @ 20009.098 ms: miss_ratio = 0.01498, load_admit = 1.000, cache_tp = 7850.489, core_tp = 0.000
  ... #42049 @ 20509.518 ms: miss_ratio = 0.01460, load_admit = 1.000, cache_tp = 7857.400, core_tp = 0.000
