
Progress:

  ... #60492 @ 25509.312 ms: miss_ratio = 0.01015, load_admit = 0.910, cache_tp = 8227.623, core_tp = 679.638
  ... #61686 @ 26009.347 ms: miss_ratio = 0.00995, load_admit = 0.930, cache_tp = 8207.425, core_tp = 695.951
  ... #62885 @ 26509.359 ms: miss_ratio = 0.00976, load_admit = 0.900, cache_tp = 8223.803, core_tp = 711.983
  ... #64068 @ 27009.479 ms: miss_ratio = 0.00958, load_admit = 0.920, cache_tp = 8142.046, core_tp = 783.812
  ... #65263 @ 27509.659 ms: miss_ratio = 0.00941, load_admit = 0.890, cache_tp = 8157.063, core_tp = 839.698
  ... #66461 @ 28009.971 ms: miss_ratio = 0.00924, load_admit = 0.870, cache_tp = 8234.861, core_tp = 1311.182
  ... #67657 @ 28510.245 ms: miss_ratio = 0.00908, load_admit = 0.890, cache_tp = 8227.491, core_tp = 1223.330
  ... #68842 @ 29010.515 ms: miss_ratio = 0.00892, load_admit = 0.880, cache_tp = 8211.566, core_tp = 1079.417
  ... #70029 @ 29510.617 ms: miss_ratio = 0.00877, load_admit = 0.870, cache_tp = 8174.332, core_tp = 943.807
  ... #71226 @ 30010.846 ms: miss_ratio = 0.00862, load_admit = 0.850, cache_tp = 8260.217, core_tp = 1399.359
  ... #72417 @ 30510.928 ms: miss_ratio = 0.00848, load_admit = 0.850, cache_tp = 8222.651, core_tp = 1391.772
  ... #73609 @ 31010.936 ms: miss_ratio = 0.00834, load_admit = 0.840, cache_tp = 8271.868, core_tp = 1399.978
  ... #74802 @ 31511.362 ms: miss_ratio = 0.00821, load_admit = 0.820, cache_tp = 8216.999, core_tp = 1630.611
  ... #76001 @ 32011.462 ms: miss_ratio = 0.00808, load_admit = 0.800, cache_tp = 8334.333, core_tp = 1919.616
  ... #77190 @ 32511.578 ms: miss_ratio = 0.00795, load_admit = 0.820, cache_tp = 8254.085, core_tp = 1783.586
  ... #78387 @ 33011.662 ms: miss_ratio = 0.00783, load_admit = 0.790, cache_tp = 8302.605, core_tp = 1687.716
  ... #79586 @ 33511.933 ms: miss_ratio = 0.00771, load_admit = 0.790, cache_tp = 8323.489, core_tp = 1934.951
  ... #80797 @ 34012.258 ms: miss_ratio = 0.00760, load_admit = 0.780, cache_tp = 8362.564, core_tp = 2182.581
  ... #82001 @ 34512.375 ms: miss_ratio = 0.00749, load_admit = 0.800, cache_tp = 8334.050, core_tp = 2023.526
  ... #83194 @ 35012.740 ms: miss_ratio = 0.00738, load_admit = 0.790, cache_tp = 8305.937, core_tp = 1686.769
  ... #84393 @ 35513.091 ms: miss_ratio = 0.00728, load_admit = 0.790, cache_tp = 8338.147, core_tp = 2094.530
  ... #85580 @ 36013.146 ms: miss_ratio = 0.00717, load_admit = 0.780, cache_tp = 8271.090, core_tp = 2135.765
  ... #86775 @ 36513.290 ms: miss_ratio = 0.00708, load_admit = 0.800, cache_tp = 8349.595, core_tp = 1975.431
  ... #87975 @ 37013.302 ms: miss_ratio = 0.00698, load_admit = 0.770, cache_tp = 8295.801, core_tp = 2135.949
  ... #89175 @ 37513.385 ms: miss_ratio = 0.00689, load_admit = 0.790, cache_tp = 8262.628, core_tp = 2111.649
  ... #90373 @ 38013.674 ms: miss_ratio = 0.00679, load_admit = 0.760, cache_tp = 8275.217, core_tp = 2078.798
  ... #91569 @ 38513.719 ms: miss_ratio = 0.00671, load_admit = 0.740, cache_tp = 8271.256, core_tp = 2431.781
  ... #92775 @ 39013.979 ms: miss_ratio = 0.00662, load_admit = 0.720, cache_tp = 8363.651, core_tp = 2598.649
  ... #93978 @ 39514.126 ms: miss_ratio = 0.00653, load_admit = 0.740, cache_tp = 8341.548, core_tp = 2663.217
  ... #95173 @ 40014.220 ms: miss_ratio = 0.00645, load_admit = 0.710, cache_tp = 8318.436, core_tp = 2519.526
  ... #96379 @ 40514.427 ms: miss_ratio = 0.00637, load_admit = 0.710, cache_tp = 8356.540, core_tp = 2822.831
  ... #97580 @ 41014.723 ms: miss_ratio = 0.00629, load_admit = 0.700, cache_tp = 8323.073, core_tp = 2718.391
  ... #98790 @ 41515.064 ms: miss_ratio = 0.00622, load_admit = 0.700, cache_tp = 8402.270, core_tp = 3045.923
  ... #99985 @ 42015.326 ms: miss_ratio = 0.00614, load_admit = 0.690, cache_tp = 8347.626, core_tp = 2934.462
  ... #101187 @ 42515.684 ms: miss_ratio = 0.00607, load_admit = 0.710, cache_tp = 8314.047, core_tp = 2973.871
  ... #102386 @ 43015.789 ms: miss_ratio = 0.00600, load_admit = 0.700, cache_tp = 8294.258, core_tp = 2807.410
  ... #103593 @ 43516.142 ms: miss_ratio = 0.00593, load_admit = 0.690, cache_tp = 8362.096, core_tp = 2702.092
  ... #104798 @ 44016.570 ms: miss_ratio = 0.00586, load_admit = 0.690, cache_tp = 8360.843, core_tp = 3125.325
  ... #106011 @ 44516.789 ms: miss_ratio = 0.00579, load_admit = 0.680, cache_tp = 8420.312, core_tp = 2782.781
  ... #107220 @ 45016.916 ms: miss_ratio = 0.00573, load_admit = 0.660, cache_tp = 8381.871, core_tp = 3223.181
  ... #108421 @ 45517.300 ms: miss_ratio = 0.00566, load_admit = 0.680, cache_tp = 8345.591, core_tp = 3045.661
  ... #109613 @ 46017.462 ms: miss_ratio = 0.00560, load_admit = 0.650, cache_tp = 8333.300, core_tp = 3278.938
  ... #110822 @ 46517.755 ms: miss_ratio = 0.00554, load_admit = 0.630, cache_tp = 8451.048, core_tp = 3461.971
  ... #112020 @ 47017.804 ms: miss_ratio = 0.00548, load_admit = 0.650, cache_tp = 8351.182, core_tp = 3319.675
  ... #113228 @ 47518.103 ms: miss_ratio = 0.00542, load_admit = 0.620, cache_tp = 8418.965, core_tp = 3230.068
  ... #114441 @ 48018.175 ms: miss_ratio = 0.00537, load_admit = 0.600, cache_tp = 8406.789, core_tp = 3679.470
  ... #115651 @ 48518.501 ms: miss_ratio = 0.00531, load_admit = 0.580, cache_tp = 8442.495, core_tp = 4005.388
  ... #116854 @ 49018.701 ms: miss_ratio = 0.00525, load_admit = 0.600, cache_tp = 8388.645, core_tp = 4006.397
  ... #118070 @ 49518.863 ms: miss_ratio = 0.00520, load_admit = 0.570, cache_tp = 8445.264, core_tp = 4126.663
  ... #119287 @ 50019.008 ms: miss_ratio = 0.00515, load_admit = 0.590, cache_tp = 8429.555, core_tp = 4326.745
  ... #120494 @ 50519.266 ms: miss_ratio = 0.00510, load_admit = 0.600, cache_tp = 8403.664, core_tp = 4285.789
  ... #121693 @ 51019.605 ms: miss_ratio = 0.00505, load_admit = 0.600, cache_tp = 8386.314, core_tp = 3773.442
  ... #122898 @ 51519.808 ms: miss_ratio = 0.00500, load_admit = 0.570, cache_tp = 8436.575, core_tp = 3942.399
  ... #124116 @ 52020.075 ms: miss_ratio = 0.00495, load_admit = 0.570, cache_tp = 8387.521, core_tp = 4317.694
  ... #125322 @ 52520.219 ms: miss_ratio = 0.00490, load_admit = 0.560, cache_tp = 8125.660, core_tp = 3830.897
  ... #126503 @ 53020.250 ms: miss_ratio = 0.00485, load_admit = 0.580, cache_tp = 5511.658, core_tp = 3943.755
  ... #127694 @ 53520.692 ms: miss_ratio = 0.00481, load_admit = 0.590, cache_tp = 5299.315, core_tp = 4220.269
  ... #128891 @ 54020.698 ms: miss_ratio = 0.00476, load_admit = 0.610, cache_tp = 5647.932, core_tp = 3919.953
  ... #130077 @ 54521.017 ms: miss_ratio = 0.00472, load_admit = 0.610, cache_tp = 5628.409, core_tp = 3861.536
  ... #131265 @ 55021.263 ms: miss_ratio = 0.00468, load_admit = 0.600, cache_tp = 5629.230, core_tp = 3870.096
  ... #132457 @ 55521.383 ms: miss_ratio = 0.00464, load_admit = 0.590, cache_tp = 5838.599, core_tp = 3695.113
  ... #133640 @ 56021.735 ms: miss_ratio = 0.00459, load_admit = 0.610, cache_tp = 5771.937, core_tp = 3685.405
  ... #134834 @ 56521.827 ms: miss_ratio = 0.00455, load_admit = 0.600, cache_tp = 5830.927, core_tp = 3719.316
