
Progress:

  ... #1521 @ 500.169 ms: miss_ratio = 0.51619, load_admit = 1.000, cache_tp = 695.765, core_tp = 4590.448
  ... #3056 @ 1000.278 ms: miss_ratio = 0.34230, load_admit = 1.000, cache_tp = 0.000, core_tp = 295.935
  ... #4512 @ 1500.437 ms: miss_ratio = 0.25701, load_admit = 1.000, cache_tp = 0.000, core_tp = 23.992
  ... #5962 @ 2000.653 ms: miss_ratio = 0.20494, load_admit = 1.000, cache_tp = 0.000, core_tp = 0.000
  ... #7403 @ 2501.027 ms: miss_ratio = 0.17233, load_admit = 1.000, cache_tp = 0.000, core_tp = 0.000
  ... #8844 @ 3001.036 ms: miss_ratio = 0.14799, load_admit = 1.000, cache_tp = 0.000, core_tp = 0.000
  ... #10294 @ 3501.083 ms: miss_ratio = 0.12696, load_admit = 1.000, cache_tp = 39.996, core_tp = 0.000
  ... #11819 @ 4001.296 ms: miss_ratio = 0.06381, load_admit = 1.000, cache_tp = 2031.135, core_tp = 0.000
  ... #13258 @ 4501.494 ms: miss_ratio = 0.05722, load_admit = 1.000, cache_tp = 0.000, core_tp = 0.000
  ... #14711 @ 5001.662 ms: miss_ratio = 0.05168, load_admit = 1.000, cache_tp = 0.000, core_tp = 0.000
  ... #16142 @ 5501.895 ms: miss_ratio = 0.04718, load_admit = 1.000, cache_tp = 0.000, core_tp = 0.000
  ... #17593 @ 6001.967 ms: miss_ratio = 0.04342, load_admit = 1.000, cache_tp = 0.000, core_tp = 0.000
  ... #19033 @ 6502.244 ms: miss_ratio = 0.04014, load_admit = 1.000, cache_tp = 0.000, core_tp = 0.000
  ... #20470 @ 7002.443 ms: miss_ratio = 0.03730, load_admit = 1.000, cache_tp = 0.000, core_tp = 0.000
  ... #21991 @ 7502.713 ms: miss_ratio = 0.02825, load_admit = 1.000, cache_tp = 4749.435, core_tp = 0.000
  ... #23532 @ 8002.924 ms: miss_ratio = 0.02609, load_admit = 1.000, cache_tp = 7924.656, core_tp = 0.000
  ... #25067 @ 8503.179 ms: miss_ratio = 0.02449, load_admit = 1.000, cache_tp = 8035.902, core_tp = 0.000
  ... #26611 @ 9003.409 ms: miss_ratio = 0.02307, load_admit = 1.000, cache_tp = 8052.296, core_tp = 0.000
  ... #28117 @ 9503.666 ms: miss_ratio = 0.02184, load_admit = 1.000, cache_tp = 4269.805, core_tp = 0.000
  ... #29603 @ 10003.679 ms: miss_ratio = 0.02074, load_admit = 1.000, cache_tp = 3207.917, core_tp = 0.000
  ... #31087 @ 10503.936 ms: miss_ratio = 0.01975, load_admit = 1.000, cache_tp = 3206.352, core_tp = 0.000
  ... #32572 @ 11004.092 ms: miss_ratio = 0.01885, load_admit = 1.000, cache_tp = 3390.942, core_tp = 0.000
  ... #34048 @ 11504.166 ms: miss_ratio = 0.01803, load_admit = 1.000, cache_tp = 3223.523, core_tp = 0.000
  ... #35538 @ 12004.415 ms: miss_ratio = 0.01728, load_admit = 1.000, cache_tp = 3254.379, core_tp = 0.000
  ... #37032 @ 12504.476 ms: miss_ratio = 0.01658, load_admit = 1.000, cache_tp = 3247.604, core_tp = 0.000
  ... #38518 @ 13004.596 ms: miss_ratio = 0.01594, load_admit = 1.000, cache_tp = 3487.163, core_tp = 0.000
  ... #40006 @ 13504.895 ms: miss_ratio = 0.01535, load_admit = 1.000, cache_tp = 3126.131, core_tp = 0.000
  ... #41489 @ 14005.017 ms: miss_ratio = 0.01480, load_admit = 1.000, cache_tp = 3303.194, core_tp = 0.000
  ... #42970 @ 14505.233 ms: miss_ratio = 0.01429, load_admit = 1.000, cache_tp = 3150.639, core_tp = 0.000
