
Progress:

  ... #1561 @ 500.029 ms: miss_ratio = 0.40834, load_admit = 1.000, cache_tp = 2015.883, core_tp = 4543.736
  ... #3034 @ 1000.155 ms: miss_ratio = 0.22121, load_admit = 1.000, cache_tp = 1319.667, core_tp = 327.917
  ... #4464 @ 1500.348 ms: miss_ratio = 0.15631, load_admit = 1.000, cache_tp = 0.000, core_tp = 39.985
  ... #5903 @ 2000.604 ms: miss_ratio = 0.12110, load_admit = 1.000, cache_tp = 0.000, core_tp = 0.000
  ... #7286 @ 2500.885 ms: miss_ratio = 0.09895, load_admit = 1.000, cache_tp = 0.000, core_tp = 0.000
  ... #8707 @ 3000.993 ms: miss_ratio = 0.08338, load_admit = 1.000, cache_tp = 0.000, core_tp = 0.000
  ... #10120 @ 3501.223 ms: miss_ratio = 0.07218, load_admit = 1.000, cache_tp = 0.000, core_tp = 0.000
  ... #11663 @ 4001.281 ms: miss_ratio = 0.05487, load_admit = 1.000, cache_tp = 6247.275, core_tp = 0.000
  ... #13217 @ 4501.487 ms: miss_ratio = 0.04673, load_admit = 1.000, cache_tp = 7508.906, core_tp = 0.000
  ... #14765 @ 5001.511 ms: miss_ratio = 0.04158, load_admit = 1.000, cache_tp = 8023.615, core_tp = 0.000
  ... #16326 @ 5501.552 ms: miss_ratio = 0.03761, load_admit = 1.000, cache_tp = 8143.332, core_tp = 0.000
  ... #17884 @ 6001.796 ms: miss_ratio = 0.03433, load_admit = 1.000, cache_tp = 8116.039, core_tp = 0.000
  ... #19439 @ 6501.930 ms: miss_ratio = 0.03159, load_admit = 1.000, cache_tp = 8109.827, core_tp = 0.000
  ... #21008 @ 7002.205 ms: miss_ratio = 0.02923, load_admit = 1.000, cache_tp = 8203.488, core_tp = 0.000
  ... #22541 @ 7502.614 ms: miss_ratio = 0.02724, load_admit = 1.000, cache_tp = 6770.462, core_tp = 0.000
  ... #24055 @ 8002.911 ms: miss_ratio = 0.02552, load_admit = 1.000, cache_tp = 4165.526, core_tp = 0.000
  ... #25564 @ 8503.078 ms: miss_ratio = 0.02402, load_admit = 1.000, cache_tp = 4102.630, core_tp = 0.000
  ... #27072 @ 9003.330 ms: miss_ratio = 0.02268, load_admit = 1.000, cache_tp = 4213.876, core_tp = 0.000
  ... #28597 @ 9503.486 ms: miss_ratio = 0.02147, load_admit = 1.000, cache_tp = 5374.323, core_tp = 0.000
  ... #30124 @ 10003.526 ms: miss_ratio = 0.02038, load_admit = 1.000, cache_tp = 5999.520, core_tp = 0.000
  ... #31644 @ 10503.754 ms: miss_ratio = 0.01940, load_admit = 1.000, cache_tp = 5253.604, core_tp = 0.000
  ... #33173 @ 11003.781 ms: miss_ratio = 0.01851, load_admit = 1.000, cache_tp = 6471.651, core_tp = 0.000
  ... #34727 @ 11503.957 ms: miss_ratio = 0.01768, load_admit = 1.000, cache_tp = 7381.402, core_tp = 0.000
  ... #36270 @ 12004.015 ms: miss_ratio = 0.01693, load_admit = 1.000, cache_tp = 7791.096, core_tp = 0.000
  ... #37823 @ 12504.112 ms: miss_ratio = 0.01623, load_admit = 1.000, cache_tp = 8150.419, core_tp = 0.000
  ... #39375 @ 13004.122 ms: miss_ratio = 0.01559, load_admit = 0.980, cache_tp = 8151.837, core_tp = 199.996
  ... #40940 @ 13504.187 ms: miss_ratio = 0.01500, load_admit = 0.960, cache_tp = 8150.940, core_tp = 351.954
  ... #42488 @ 14004.302 ms: miss_ratio = 0.01445, load_admit = 0.980, cache_tp = 8142.127, core_tp = 287.934
  ... #44053 @ 14504.404 ms: miss_ratio = 0.01394, load_admit = 0.950, cache_tp = 8190.329, core_tp = 511.896
  ... #45612 @ 15004.651 ms: miss_ratio = 0.01346, load_admit = 0.970, cache_tp = 8171.963, core_tp = 487.759
  ... #47175 @ 15504.807 ms: miss_ratio = 0.01302, load_admit = 0.940, cache_tp = 8149.457, core_tp = 671.790
  ... #48729 @ 16004.877 ms: miss_ratio = 0.01260, load_admit = 0.960, cache_tp = 8126.862, core_tp = 647.909
  ... #50289 @ 16505.000 ms: miss_ratio = 0.01221, load_admit = 0.930, cache_tp = 8157.993, core_tp = 887.782
